market,rname,rdesc,raddy
"Houston, TX",Voodoo Doughnut,"$$ • Breakfast, Sweets","1214 Westheimer Rd, Houston, TX 77006, USA"
"Houston, TX",GEN Korean BBQ House,"$$ • Pork, Asian","Gen Korean BBQ House, 3201 Louisiana St #101, Houston, TX 77006, USA"
"Houston, TX",The Burger Joint,"$$ • Milk Shakes, Salads","2703 Montrose Blvd, Houston, TX 77006, USA"
"Houston, TX",Insomnia Cookies,"$$ • Cookies, Dessert","2528 Rice Boulevard, Houston, TX 77005, USA"
"Houston, TX",Katz's Deli & Bar,"$$ • Lunch, Dessert","616 Westheimer Rd #100, Houston, TX 77006, USA"
"Houston, TX",Andes Cafe,"$$ • Empanadas, Curry","401 Franklin St, Houston, TX 77201, USA"
"Houston, TX",Lost & Found,$$ • Lounges,"Lost & Found, 160 W Gray St, Houston, TX 77019, USA"
"Houston, TX",JCI Grill,"$ • Hot Dogs, Burgers","JCI Grill (Northline), 4200 North Freeway, Houston, TX 77022, USA"
"Houston, TX",Purple Kow,"$$ • Juice Bar, Pickup","Purple Kow, 2531 University Blvd, Houston, TX 77005, USA"
"Houston, TX",Fia's Pizzeria,"$ • Pizza, Takeout","Fia's Pizzeria, 1200 Binz St, Suite 130, Houston, TX 77004, USA"
"Houston, TX",Twisted Grilled Cheese,"$$ • Wraps, Chicken","5555 Washington Ave, Houston, TX 77007, USA"
"Houston, TX",Cafe Express,"$ • Lunch, Sandwiches","1422 W Gray St, Houston, TX 77019, USA"
"Houston, TX",KFC,"$$ • American, Fried Chicken","2701 Yale St, Houston, TX 77008, USA"
"Houston, TX",Nam Eatery,"$$ • Vietnamese, Pho","502 E 20th St B, Houston, TX 77008, USA"
"Houston, TX",Nekter Juice Bar,"$$ • American, Juice Bar","304 Gray St, Houston, TX 77002, USA"
"Houston, TX",Howdy Hot Chicken,"$$ • Chicken, Halal","Howdy Hot Chicken, 3520 S Shepherd Dr, Houston, TX 77098, USA"
"Houston, TX",Nidda Thai Cuisine,"$$ • Pickup, Thai","1226 Westheimer Rd, 1226 Westheimer Road, Houston, TX 77006, USA"
"Houston, TX",Street Food Thai Market,"$$ • Asian, Thai","1010 W Cavalcade St, Houston, TX 77009, USA"
"Houston, TX",The Cookshack,"$$$ • Tacos, Salads","The Cookshack, 4015 Washington Ave Suite F, Houston, TX 77007, USA"
"Houston, TX",Cyclone Anaya's,"$$ • Pickup, Bar and Grill","309 Gray St, Houston, TX 77002, USA"
